epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5321,1.28975,2.70886,1.25391,0.48194,0.49821,0.54771,0.39905,0.92721,1.59332,1.07244,0.000272618,0.000272618,0.000272618
2,96.8637,1.239,1.38169,1.23823,0.55462,0.54264,0.60346,0.41326,1.05418,1.33077,1.22149,0.000544837,0.000544837,0.000544837
3,141.557,1.25811,1.24864,1.26027,0.43098,0.55476,0.53563,0.34402,1.21603,1.50164,1.32897,0.000811558,0.000811558,0.000811558
4,184.444,1.26924,1.15536,1.23483,0.59164,0.42579,0.52937,0.37091,1.0789,1.35471,1.22888,0.00080826,0.00080826,0.00080826
5,226.93,1.2837,1.14036,1.24252,0.53869,0.59486,0.60873,0.40315,1.06872,1.13084,1.18062,0.000800013,0.000800013,0.000800013
6,272.428,1.23259,1.02428,1.22033,0.8438,0.40781,0.5156,0.35039,1.09428,2.07258,1.19966,0.000791767,0.000791767,0.000791767
7,314.008,1.21636,1.00063,1.2183,0.51863,0.55512,0.54505,0.36034,1.15647,1.52297,1.27586,0.00078352,0.00078352,0.00078352
8,356.101,1.24102,1.00368,1.22458,0.82629,0.55385,0.60647,0.41054,1.13739,0.94029,1.22349,0.000775273,0.000775273,0.000775273
9,398.092,1.20543,0.93467,1.22558,0.38592,0.47841,0.44805,0.30602,1.15919,1.81708,1.27142,0.000767026,0.000767026,0.000767026
10,442.236,1.16011,0.87755,1.19463,0.59858,0.58207,0.63461,0.46788,0.97506,0.96048,1.14468,0.00075878,0.00075878,0.00075878
11,486.222,1.15449,0.8601,1.18511,0.54823,0.79201,0.65606,0.46008,1.02795,1.13259,1.19192,0.000750533,0.000750533,0.000750533
12,528.645,1.16519,0.87232,1.18997,0.57996,0.54464,0.66544,0.46666,1.0738,1.11136,1.21234,0.000742286,0.000742286,0.000742286
13,572.371,1.125,0.81265,1.17049,0.56093,0.79823,0.70158,0.445,1.08649,1.05904,1.22146,0.00073404,0.00073404,0.00073404
14,616.541,1.11083,0.80743,1.16388,0.67465,0.82605,0.72215,0.52518,0.93133,0.86716,1.10758,0.000725793,0.000725793,0.000725793
15,659.534,1.08852,0.7909,1.15561,0.83384,0.62381,0.69296,0.51398,0.91004,0.85833,1.1103,0.000717546,0.000717546,0.000717546
16,701.816,1.09441,0.75792,1.13651,0.80577,0.73079,0.76944,0.57006,0.99935,0.75879,1.16696,0.000709299,0.000709299,0.000709299
17,745.317,1.06035,0.74413,1.13104,0.57359,0.5631,0.61483,0.43732,1.01953,1.04124,1.15867,0.000701053,0.000701053,0.000701053
18,789.303,1.06956,0.75029,1.13569,0.52683,0.94525,0.75374,0.56982,0.92543,0.74033,1.13285,0.000692806,0.000692806,0.000692806
19,831.746,1.06468,0.72314,1.13654,0.49371,0.84479,0.66152,0.48105,0.93093,0.99566,1.14552,0.000684559,0.000684559,0.000684559
20,874.493,1.05357,0.72954,1.12651,0.70751,0.75206,0.72167,0.51562,0.97693,0.92557,1.14914,0.000676313,0.000676313,0.000676313
21,917.03,1.04919,0.69577,1.12976,0.88404,0.81965,0.8827,0.63541,0.9413,0.76122,1.11558,0.000668066,0.000668066,0.000668066
22,962.145,1.01118,0.66937,1.09154,0.83719,0.76031,0.84781,0.5192,0.9272,0.98495,1.11411,0.000659819,0.000659819,0.000659819
23,1005.55,1.03477,0.66893,1.11146,0.64281,0.82256,0.75465,0.56088,0.93015,0.78712,1.11174,0.000651573,0.000651573,0.000651573
24,1047.69,0.98949,0.6396,1.09953,0.61927,0.79328,0.72847,0.54631,0.8887,0.9173,1.09841,0.000643326,0.000643326,0.000643326
25,1088.74,0.99461,0.63415,1.0959,0.88272,0.6722,0.75069,0.54661,0.94106,0.72002,1.09624,0.000635079,0.000635079,0.000635079
26,1131.41,0.98783,0.62974,1.08583,0.72112,0.73337,0.85326,0.59825,0.91981,0.99365,1.11961,0.000626832,0.000626832,0.000626832
27,1175.18,0.98126,0.61332,1.08545,0.8889,0.68769,0.75801,0.5684,0.9225,0.62649,1.08119,0.000618586,0.000618586,0.000618586
28,1216.35,0.98188,0.61397,1.08652,0.85538,0.82432,0.87233,0.57589,0.91548,0.72732,1.11044,0.000610339,0.000610339,0.000610339
29,1258.13,0.96845,0.60549,1.0856,0.66728,0.84028,0.79808,0.61499,0.84195,0.68849,1.05889,0.000602092,0.000602092,0.000602092
30,1300.6,0.95058,0.59832,1.06804,0.65587,0.78497,0.72066,0.53049,0.91184,0.76468,1.09392,0.000593846,0.000593846,0.000593846
31,1343.87,0.91966,0.57527,1.05353,0.54458,0.76591,0.72098,0.51411,0.88721,0.95788,1.09655,0.000585599,0.000585599,0.000585599
32,1387.52,0.94408,0.58606,1.06547,0.54127,0.83867,0.72937,0.5365,0.86994,0.92299,1.06882,0.000577352,0.000577352,0.000577352
33,1430.28,0.9235,0.55997,1.05367,0.77157,0.86877,0.78787,0.58173,0.90722,0.66434,1.07933,0.000569106,0.000569106,0.000569106
34,1471.34,0.90658,0.55539,1.04624,0.84829,0.75532,0.79312,0.6011,0.81639,0.71651,1.03931,0.000560859,0.000560859,0.000560859
35,1514.09,0.924,0.55531,1.05999,0.83966,0.88018,0.9091,0.66453,0.93615,0.6353,1.1353,0.000552612,0.000552612,0.000552612
36,1557.66,0.90736,0.54547,1.04877,0.71533,0.73678,0.73499,0.55072,0.90037,0.94448,1.06618,0.000544365,0.000544365,0.000544365
37,1600.42,0.9068,0.5441,1.05152,0.65107,0.86663,0.74227,0.56504,0.87084,0.81859,1.09691,0.000536119,0.000536119,0.000536119
38,1642.28,0.85935,0.51645,1.02881,0.65809,0.80669,0.69813,0.53711,0.90241,0.81458,1.09884,0.000527872,0.000527872,0.000527872
39,1684.03,0.87464,0.52338,1.02827,0.64396,0.69626,0.77036,0.57924,0.8813,0.71158,1.08658,0.000519625,0.000519625,0.000519625
40,1727.55,0.87697,0.51858,1.02942,0.75377,0.89331,0.81826,0.61131,0.88505,0.69275,1.09641,0.000511379,0.000511379,0.000511379
41,1771.49,0.86745,0.51912,1.0392,0.92749,0.80701,0.89175,0.68683,0.82901,0.71637,1.04568,0.000503132,0.000503132,0.000503132
42,1814.19,0.83918,0.49533,1.02261,0.9448,0.65857,0.93233,0.70832,0.85042,0.62724,1.05076,0.000494885,0.000494885,0.000494885
43,1856.84,0.83919,0.49823,1.01803,0.89272,0.83245,0.91661,0.68736,0.82293,0.60906,1.0355,0.000486639,0.000486639,0.000486639
