                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3527,                 3.8441,                 1.5197,                0.41399,                0.26222,                0.21584,                0.13019,                 1.2681,                 7.4585,                 1.4474,                 0.0673,              0.0003303,              0.0003303
                      2,                 1.3757,                 2.0802,                 1.4902,                0.56635,                0.39171,                0.37643,                0.23328,                 1.3013,                 2.0939,                 1.6308,               0.034293,             0.00065707,             0.00065707
                      3,                 1.3764,                 1.8828,                 1.5001,                0.47611,                0.52576,                0.60456,                0.36746,                 1.2322,                 2.4208,                 1.4397,              0.0012803,             0.00097723,             0.00097723
                      4,                 1.3672,                  1.726,                 1.4751,                0.70275,                0.35406,                 0.2971,                0.18288,                 1.1771,                 2.5458,                 1.4365,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3228,                 1.7778,                 1.4462,                0.66425,                0.50034,                0.47261,                0.29969,                 1.2886,                 1.6302,                 1.4687,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3357,                 1.5368,                 1.4331,                0.66505,                0.47267,                0.45979,                0.30576,                 1.2881,                 1.6356,                 1.4806,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2984,                 1.4825,                 1.3877,                0.57693,                0.61182,                0.58227,                0.40912,                 1.1315,                 1.4008,                 1.3333,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2767,                  1.416,                 1.3833,                0.67163,                0.51524,                0.53367,                 0.3823,                 1.0948,                 1.3564,                 1.3915,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2261,                 1.3007,                 1.3493,                0.76686,                  0.491,                 0.6135,                0.43401,                 1.1101,                 1.3864,                 1.3594,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2273,                 1.2185,                 1.3303,                0.81059,                0.54856,                0.61424,                0.42782,                 1.1194,                 1.2155,                 1.3529,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2089,                 1.1939,                 1.3151,                0.76042,                0.56288,                0.59739,                0.42182,                 1.0951,                 1.2447,                 1.3542,               0.000901,               0.000901,               0.000901
